player,team,position,c/a,yds,td,int,car,yds,td,rec,yds,td,tar,2pc,fuml,td,fpts,avg
Cooper Kupp,LAR,WR,0/1,0,0,0,4,18,0,145,1947,16,191,0,0,0,439.5,25.9
Josh Allen,Buf,QB,409/646,4407,36,15,122,763,6,0,0,0,0,0,3,0,402.58,23.7
Justin Herbert,LAC,QB,443/672,5014,38,15,63,302,3,0,0,0,0,0,1,0,380.76,22.4
Tom Brady,TB,QB,485/719,5316,43,12,28,81,2,0,0,0,0,0,3,0,374.74,22.0
Jonathan Taylor,Ind,RB,0/0,0,0,0,332,1811,18,40,360,2,51,0,2,0,373.1,21.9
Patrick Mahomes,KC,QB,436/658,4839,37,13,66,381,2,0,0,0,0,0,4,0,361.66,21.3
Davante Adams,LV,WR,0/0,0,0,0,0,0,0,123,1553,11,169,0,0,0,344.3,21.5
Austin Ekeler,LAC,RB,0/0,0,0,0,206,911,12,70,647,8,94,0,3,0,343.8,21.5
Deebo Samuel,SF,WR,1/2,24,1,0,59,365,8,77,1405,6,121,0,2,0,338.96,21.2
Aaron Rodgers,GB,QB,366/531,4115,37,4,33,101,3,1,-4,0,1,0,0,0,333.3,20.8
Justin Jefferson,Min,WR,2/4,35,0,0,6,14,0,108,1616,10,167,0,1,0,330.4,19.4
Matthew Stafford,LAR,QB,404/601,4886,41,17,32,43,0,0,0,0,0,0,2,0,329.74,19.4
Dak Prescott,Dal,QB,410/596,4449,37,10,48,146,1,0,0,0,0,0,6,0,320.56,20.0
Joe Burrow,Cin,QB,366/520,4611,34,14,40,118,2,0,0,0,0,0,2,0,314.24,19.6
Jalen Hurts,Phi,QB,265/432,3144,16,9,139,784,10,0,0,0,1,0,2,0,312.16,20.8
Ja'Marr Chase,Cin,WR,0/0,0,0,0,7,21,0,81,1455,13,128,0,1,0,304.6,17.9
Mark Andrews,Bal,TE,0/0,0,0,0,1,0,0,107,1361,9,154,0,0,0,301.1,17.7
Najee Harris,Pit,RB,0/0,0,0,0,307,1200,7,74,467,3,94,0,0,0,300.7,17.7
Kyler Murray,Ari,QB,333/481,3787,24,10,88,423,5,0,7,0,0,0,0,0,300.48,21.5
Kirk Cousins,Min,QB,372/561,4221,33,7,29,115,1,0,0,0,0,0,2,0,300.34,18.8
Tyreek Hill,Mia,WR,0/0,0,0,0,9,96,0,111,1239,9,159,0,1,0,296.5,17.4
Joe Mixon,Cin,RB,0/0,0,0,0,292,1205,13,42,314,3,48,0,1,0,287.9,18.0
Stefon Diggs,Buf,WR,0/0,0,0,0,0,0,0,103,1225,10,164,0,0,0,285.5,16.8
